grid_id,lon,lat
371,101.481789,7.622784
372,101.708069,7.622784
373,101.934341,7.622784
374,102.160622,7.622784
375,102.386894,7.622784
376,102.613174,7.622784
377,102.839447,7.622784
378,103.065727,7.622784
379,103.292007,7.622784
380,103.51828,7.622784
381,103.74456,7.622784
382,103.970833,7.622784
383,104.197113,7.622784
384,104.423386,7.622784
385,104.649666,7.622784
386,104.875938,7.622784
387,105.102219,7.622784
388,105.328499,7.622784
389,105.554771,7.622784
390,105.781052,7.622784
391,97.182526,7.847002
392,97.408806,7.847002
393,97.635086,7.847002
394,97.861359,7.847002
395,98.087639,7.847002
396,98.313911,7.847002
397,98.540192,7.847002
398,98.766464,7.847002
399,98.992744,7.847002
400,99.219017,7.847002
401,99.445297,7.847002
402,99.671577,7.847002
403,99.89785,7.847002
404,100.12413,7.847002
405,100.350403,7.847002
406,100.576683,7.847002
407,100.802956,7.847002
408,101.029236,7.847002
409,101.255516,7.847002
410,101.481789,7.847002
411,101.708069,7.847002
412,101.934341,7.847002
413,102.160622,7.847002
414,102.386894,7.847002
415,102.613174,7.847002
416,102.839447,7.847002
417,103.065727,7.847002
418,103.292007,7.847002
419,103.51828,7.847002
420,103.74456,7.847002
421,103.970833,7.847002
422,104.197113,7.847002
423,104.423386,7.847002
424,104.649666,7.847002
425,104.875938,7.847002
426,105.102219,7.847002
427,105.328499,7.847002
428,105.554771,7.847002
429,105.781052,7.847002
430,97.182526,8.071099
431,97.408806,8.071099
432,97.635086,8.071099
433,97.861359,8.071099
434,98.087639,8.071099
435,98.313911,8.071099
436,98.540192,8.071099
437,98.766464,8.071099
438,98.992744,8.071099
439,99.219017,8.071099
440,99.445297,8.071099
441,99.671577,8.071099
442,99.89785,8.071099
443,100.12413,8.071099
444,100.350403,8.071099
445,100.576683,8.071099
446,100.802956,8.071099
447,101.029236,8.071099
448,101.255516,8.071099
449,101.481789,8.071099
450,101.708069,8.071099
451,101.934341,8.071099
452,102.160622,8.071099
453,102.386894,8.071099
454,102.613174,8.071099
455,102.839447,8.071099
456,103.065727,8.071099
457,103.292007,8.071099
458,103.51828,8.071099
459,103.74456,8.071099
460,103.970833,8.071099
461,104.197113,8.071099
462,104.423386,8.071099
463,104.649666,8.071099
464,104.875938,8.071099
465,105.102219,8.071099
466,105.328499,8.071099
467,105.554771,8.071099
468,105.781052,8.071099
469,97.182526,8.295072
470,97.408806,8.295072
471,97.635086,8.295072
472,97.861359,8.295072
473,98.087639,8.295072
474,98.313911,8.295072
475,98.540192,8.295072
476,98.766464,8.295072
477,98.992744,8.295072
478,99.219017,8.295072
479,99.445297,8.295072
480,99.671577,8.295072
481,99.89785,8.295072
482,100.12413,8.295072
483,100.350403,8.295072
484,100.576683,8.295072
485,100.802956,8.295072
486,101.029236,8.295072
487,101.255516,8.295072
488,101.481789,8.295072
489,101.708069,8.295072
490,101.934341,8.295072
491,102.160622,8.295072
492,102.386894,8.295072
493,102.613174,8.295072
494,102.839447,8.295072
495,103.065727,8.295072
496,103.292007,8.295072
497,103.51828,8.295072
498,103.74456,8.295072
499,103.970833,8.295072
500,104.197113,8.295072
501,104.423386,8.295072
502,104.649666,8.295072
503,104.875938,8.295072
504,105.102219,8.295072
505,105.328499,8.295072
506,105.554771,8.295072
507,105.781052,8.295072
508,97.182526,8.518917
509,97.408806,8.518917
510,97.635086,8.518917
511,97.861359,8.518917
512,98.087639,8.518917
513,98.313911,8.518917
514,98.540192,8.518917
515,98.766464,8.518917
516,98.992744,8.518917
517,99.219017,8.518917
518,99.445297,8.518917
519,99.671577,8.518917
520,99.89785,8.518917
521,100.12413,8.518917
522,100.350403,8.518917
523,100.576683,8.518917
524,100.802956,8.518917
525,101.029236,8.518917
526,101.255516,8.518917
527,101.481789,8.518917
528,101.708069,8.518917
