PROV_CODE,PROV_NAM_T,Province_E,REGI_NAM_T,grid_id,grid_area,TMD_Region
17,สิงห์บุรี,Singburi,กลาง,1653,509307505.581816,กลาง
17,สิงห์บุรี,Singburi,กลาง,1654,1261739.94555349,กลาง
17,สิงห์บุรี,Singburi,กลาง,1692,66241864.485069,กลาง
18,ชัยนาท,Chainat,กลาง,1650,42506100.0040899,กลาง
18,ชัยนาท,Chainat,กลาง,1651,353652090.805119,กลาง
18,ชัยนาท,Chainat,กลาง,1652,293714908.903827,กลาง
18,ชัยนาท,Chainat,กลาง,1653,36395619.7561493,กลาง
18,ชัยนาท,Chainat,กลาง,1689,71250122.5645365,กลาง
18,ชัยนาท,Chainat,กลาง,1690,588481712.874052,กลาง
18,ชัยนาท,Chainat,กลาง,1691,589248398.526269,กลาง
18,ชัยนาท,Chainat,กลาง,1692,171366020.646612,กลาง
18,ชัยนาท,Chainat,กลาง,1728,17316838.1776472,กลาง
18,ชัยนาท,Chainat,กลาง,1729,97619990.5814008,กลาง
18,ชัยนาท,Chainat,กลาง,1730,230277481.60105,กลาง
18,ชัยนาท,Chainat,กลาง,1731,23624765.0440736,กลาง
19,สระบุรี,Saraburi,กลาง,1538,182053468.517761,กลาง
19,สระบุรี,Saraburi,กลาง,1539,171463257.950166,กลาง
19,สระบุรี,Saraburi,กลาง,1540,25793777.0506236,กลาง
19,สระบุรี,Saraburi,กลาง,1576,60383606.2344497,กลาง
19,สระบุรี,Saraburi,กลาง,1577,423417751.281922,กลาง
19,สระบุรี,Saraburi,กลาง,1578,589918145.583006,กลาง
19,สระบุรี,Saraburi,กลาง,1579,180784360.190537,กลาง
19,สระบุรี,Saraburi,กลาง,1615,96075995.8189191,กลาง
19,สระบุรี,Saraburi,กลาง,1616,459000945.875153,กลาง
19,สระบุรี,Saraburi,กลาง,1617,476324368.724305,กลาง
19,สระบุรี,Saraburi,กลาง,1618,304577903.174576,กลาง
19,สระบุรี,Saraburi,กลาง,1619,7484373.74735188,กลาง
19,สระบุรี,Saraburi,กลาง,1656,49965876.0004437,กลาง
19,สระบุรี,Saraburi,กลาง,1657,297064659.012987,กลาง
19,สระบุรี,Saraburi,กลาง,1658,167834484.044679,กลาง
19,สระบุรี,Saraburi,กลาง,1697,7384834.2048669,กลาง
20,ชลบุรี,Chonburi,ตะวันออก,1226,608612.557343068,ตะวันออก
20,ชลบุรี,Chonburi,ตะวันออก,1227,22221193.9464044,ตะวันออก
20,ชลบุรี,Chonburi,ตะวันออก,1265,120960988.615631,ตะวันออก
