"affiliation","term","vip","percent_vip","r_squared"
"สพป.พิษณุโลก เขต 2","School Distance",1.4561645224704873,100,2.057007351537543
"สพป.พิษณุโลก เขต 2","School Size",0.9184850087096725,49.57936039276508,2.057007351537543
"สพป.พิษณุโลก เขต 2","Student Level",0.3014226853915931,20.699768517928725,2.057007351537543
"สพป.พิษณุโลก เขต 3","Hard to Reach",0.5611273304914283,18.656301456882314,11.33251363936616
"สพป.พิษณุโลก เขต 3","Infrastructure & Connectivity",2.306943637242927,76.70101526287723,11.33251363936616
"สพป.พิษณุโลก เขต 3","Poor Family",1.344577449376948,44.70436719903354,11.33251363936616
"สพป.พิษณุโลก เขต 3","School Distance",3.0077093886389163,100,11.33251363936616
"สพป.พิษณุโลก เขต 3","School Size",0.36296000565037423,12.067655439763916,11.33251363936616
"สพป.พิษณุโลก เขต 3","Student Level",1.0734382567632335,35.689560328466385,11.33251363936616
"สพป.ภูเก็ต","Infrastructure & Connectivity",0.4121469690854649,11.021227202062457,26.889469520407665
"สพป.ภูเก็ต","School Distance",0.5643261867950631,15.09065354658039,26.889469520407665
"สพป.ภูเก็ต","School Size",10.497764912561012,100,26.889469520407665
"สพป.ภูเก็ต","Student Level",0.017192047547352006,0.4597327562749493,26.889469520407665
"สพป.มหาสารคาม เขต 1","Infrastructure & Connectivity",0.3579619546455989,12.97944456343638,4.468939732384316
"สพป.มหาสารคาม เขต 1","Poor Family",0.8545172977240352,30.984186309093673,4.468939732384316
"สพป.มหาสารคาม เขต 1","School Distance",1.06116540990935,38.4770991213046,4.468939732384316
"สพป.มหาสารคาม เขต 1","School Size",2.7579142766555065,100,4.468939732384316
"สพป.มหาสารคาม เขต 1","Student Level",0.39632494037099875,14.37045899960378,4.468939732384316
"สพป.มหาสารคาม เขต 2","Infrastructure & Connectivity",1.4161449055117656,58.44294283159064,4.7058152070288335
"สพป.มหาสารคาม เขต 2","Poor Family",0.6271888966388836,25.883484584247686,4.7058152070288335
"สพป.มหาสารคาม เขต 2","School Distance",2.42312388271161,100,4.7058152070288335
"สพป.มหาสารคาม เขต 2","School Size",1.8068076880883526,41.783257081485836,4.7058152070288335
"สพป.มหาสารคาม เขต 2","Student Level",1.0942995404135596,45.16069311276721,4.7058152070288335
"สพป.มหาสารคาม เขต 3","Infrastructure & Connectivity",1.0213446592100754,41.53179373203845,7.112611066698227
"สพป.มหาสารคาม เขต 3","Poor Family",1.4582422905683556,59.297728222381814,7.112611066698227
"สพป.มหาสารคาม เขต 3","School Distance",2.459187449980495,100,7.112611066698227
"สพป.มหาสารคาม เขต 3","School Size",1.9253016908037774,46.575789282541564,7.112611066698227
"สพป.มหาสารคาม เขต 3","Student Level",1.0783140212356632,43.8483866386117,7.112611066698227
"สพป.มุกดาหาร","Infrastructure & Connectivity",0.5214916553481462,13.576610607248513,9.092023163803592
"สพป.มุกดาหาร","Poor Family",1.741744618222531,45.34490286923454,9.092023163803592
"สพป.มุกดาหาร","School Distance",3.84110342731435,100,9.092023163803592
"สพป.มุกดาหาร","School Size",3.1108276991757133,41.81174314765131,9.092023163803592
"สพป.มุกดาหาร","Student Level",1.4241412343987185,37.0763573891698,9.092023163803592
"สพป.ยะลา เขต 1","Infrastructure & Connectivity",0.9955044020850057,23.945720290600548,16.429800697718516
"สพป.ยะลา เขต 1","Poor Family",1.2201501386398463,29.34931665918679,16.429800697718516
"สพป.ยะลา เขต 1","School Distance",0.3463328559642909,8.330640908263515,16.429800697718516
"สพป.ยะลา เขต 1","School Size",8.300126780278703,100,16.429800697718516
"สพป.ยะลา เขต 1","Student Level",1.7665201626451363,42.49162295396319,16.429800697718516
"สพป.ยะลา เขต 2","Infrastructure & Connectivity",0.25204766040244203,18.79210151798423,3.455880512796196
"สพป.ยะลา เขต 2","Poor Family",0.09075450404247383,6.766449847054222,3.455880512796196
"สพป.ยะลา เขต 2","School Distance",0.7333679995306152,54.67825360971613,3.455880512796196
"สพป.ยะลา เขต 2","School Size",1.1782341928673623,44.78154802489553,3.455880512796196
"สพป.ยะลา เขต 2","Student Level",1.3412425436358455,100,3.455880512796196
"สพป.ยะลา เขต 3","Infrastructure & Connectivity",1.3787055749772328,100,12.530015465866976
"สพป.ยะลา เขต 3","Poor Family",0.3835903700163374,27.822500828189643,12.530015465866976
"สพป.ยะลา เขต 3","School Distance",1.003989490979782,72.82116712963617,12.530015465866976
"สพป.ยะลา เขต 3","School Size",0.6939777599630794,46.0633068916763,12.530015465866976
"สพป.ยะลา เขต 3","Student Level",1.2710427764601118,92.19102319805309,12.530015465866976
"สพป.ยโสธร เขต 1","Infrastructure & Connectivity",1.1597180240848652,40.615045222892064,9.02128823696401
"สพป.ยโสธร เขต 1","Poor Family",2.780188396035038,97.3663210263772,9.02128823696401
"สพป.ยโสธร เขต 1","School Distance",1.4925929474057604,52.27281873634015,9.02128823696401
"สพป.ยโสธร เขต 1","School Size",5.557471117510411,100,9.02128823696401
"สพป.ยโสธร เขต 1","Student Level",1.2166342686670586,42.60833652268634,9.02128823696401
"สพป.ยโสธร เขต 2","Infrastructure & Connectivity",1.5101196879529735,51.69470250652746,5.7821271395026805
"สพป.ยโสธร เขต 2","Poor Family",2.9212271562299668,100,5.7821271395026805
"สพป.ยโสธร เขต 2","School Distance",1.063221041036949,36.39638358042326,5.7821271395026805
"สพป.ยโสธร เขต 2","School Size",2.7602217898739134,52.03394941363607,5.7821271395026805
